N, S0, Montecarlo Avrg PI, Lower confidence limit,Upper confidence limit, Analytic PI
1000,70,79.9206,79.9206,79.9206,78.1939
2000,70,79.6975,79.6975,79.6975,78.1939
3000,70,79.6474,79.6474,79.6474,78.1939
4000,70,79.4669,79.4669,79.4669,78.1939
5000,70,79.4807,79.4807,79.4807,78.1939
6000,70,79.4208,79.4208,79.4208,78.1939
7000,70,79.4588,79.4588,79.4588,78.1939
8000,70,79.4926,79.4926,79.4926,78.1939
9000,70,79.4564,79.4564,79.4564,78.1939
10000,70,79.5046,79.5046,79.5046,78.1939
11000,70,79.4635,79.4635,79.4635,78.1939
12000,70,79.5036,79.5036,79.5036,78.1939
13000,70,79.486,79.486,79.486,78.1939
14000,70,79.4646,79.4646,79.4646,78.1939
15000,70,79.4549,79.4549,79.4549,78.1939
16000,70,79.4576,79.4576,79.4576,78.1939
